Key,Description,Standard,fr
SAY.cinna flowchart.592.,,"Not long after I woke up, Mary dragged me out on a walk through the forest, saying she needed ""help gathering ingredients"".","Peu de temps après mon réveil, Mary m’a entraîné dans une balade en forêt, prétextent avoir besoin d’aide pour cueillir des ingrédients."
SAY.cinna flowchart.593.,,"My leg still feels weak, but beneath the shining sun, between the rustling trees...","Ma jambe est encore un peu faible, mais sous le soleil éclatant et au milieu du bruissement des arbres…"
SAY.cinna flowchart.594.,,The events of last night are starting to feel like nothing more than a bad dream.,Les événements de la nuit dernière commencent à me sembler n'avoir été rien d'autre qu'un mauvais rêve.
SAY.cinna flowchart.597.Mary,,Not much further now!,Ce n'est plus très loin maintenant !
SAY.cinna flowchart.598.,,"A fly buzzes past my face and I flinch reflexively. It drifts lazily onto Mary's shoulder, where it perches. She pays it no mind.","Une mouche bourdonne près de mon visage et je tressaille instinctivement. Elle se pose nonchalamment sur l'épaule de Mary, où elle reste. Elle n'y prête aucune attention."
SAY.cinna flowchart.600.Mary,,"Sometimes traders do stop by the village, but I get most of my potion ingredients from this forest.","Il arrive parfois que des marchands s'arrêtent au village, mais je trouve la plupart des ingrédients pour mes potions dans cette forêt."
SAY.cinna flowchart.602.Mary,,"Nature is amazing, isn’t it?","La nature est incroyable, n'est-ce pas ?"
SAY.cinna flowchart.605.Mary,,"That being said, this area is home to more than a dozen lethally poisonous species of mushroom.","Cela dit, cette région abrite plus d'une douzaine d'espèces de champignons mortellement toxiques."
SAY.cinna flowchart.607.Mary,,Don't touch anything suspicious without checking with me first. Got it?,Ne touche à rien qui te semble suspect sans me consulter d'abord. C'est compris ?
SAY.cinna flowchart.609.Hazel,,"Yes, Ma’am.","Oui, madame."
SAY.cinna flowchart.612.Mary,,I thought I told you to stop with that.,Je croyais t'avoir dit d'arrêter avec ça.
SAY.cinna flowchart.614.Mary,,"Ah, here we are!","Ah, nous y sommes ! "
SAY.cinna flowchart.615.,,"She steps forwards into a clearing, and I follow a step behind. ","Elle s'avance vers une clairière, je la suis à quelques pas derrière elle."
SAY.cinna flowchart.665.,,"Patchwork beams of sunlight shine down, filtered through a thick layer of trees. The grass is bright and soft.","Les rayons du soleil, filtrés par une épaisse canopée d'arbres, viennent illuminer le sol. L'herbe est éclatante et douce."
SAY.cinna flowchart.617.,,"Birds flutter overhead, hopping between branches.","Des oiseaux virevoltent au-dessus de nos têtes, sautillant de branche en branche."
