Key,Description,Standard,fr
SAY.cinna flowchart.660.,,"I wake up to the sound of birdsong, and to the reassuring presence of a hand resting upon my shoulder.","Je me réveille au son du chant des oiseaux, et grâce à la présence rassurante d'une main posée sur mon épaule."
SAY.cinna flowchart.663.Mary,,Hazel. Did you sleep well?,Hazel. Tu as bien dormi ?
MENU.cinna flowchart.758,,Not really.,Pas vraiment.
MENU.cinna flowchart.759,,Nod.,Oui.
SAY.cinna flowchart.669.Hazel,,Um... not really.,Euh… pas vraiment.
SAY.cinna flowchart.670.,,"I sit up in bed, brushing her hand aside gently.",Je me redresse dans mon lit et écarte doucement sa main.
SAY.cinna flowchart.672.Hazel,,Did you... want something?,Tu voulais quelque chose ?
SAY.cinna flowchart.675.,,"I nod, and Mary smiles back at me.","J'acquiesce d'un signe de tête, et Mary me sourit."
SAY.cinna flowchart.678.Mary,,That's lovely.,C'est merveilleux.
SAY.cinna flowchart.679.,,"I sit up in bed, brushing her hand aside gently.",Je me redresse dans mon lit et écarte doucement sa main.
SAY.cinna flowchart.681.Hazel,,Did you... want something?,Tu… voulais quelque chose ?
SAY.cinna flowchart.684.Mary,,"Well, I just thought that your hair is getting a little untidy. If you want, I could cut it for you?","Et bien, je trouvais juste que tes cheveux commençaient à être un peu en bataille. Si tu veux, je pourrais te les couper ?"
SAY.cinna flowchart.686.Hazel,,Sure.,D'accord.
SAY.cinna flowchart.688.Mary,,Wonderful! Just sit over here and I'll get started.,"Merveilleux ! Installe-toi par ici, je vais m'y mettre."
SAY.cinna flowchart.689.,,"Mary pulls a pair of delicate silver scissors from her bag as I drag myself out of bed and into the chair.{wc}I take another, closer look at Mary. She looks tired, and her skin somewhat pallid.{wc}She looks a lot less healthy than she did yesterday.","Mary sort une paire de ciseaux en argent très fins de son sac, tandis que je me traîne hors du lit pour m'asseoir sur la chaise.{wc}Je regarde Mary d'un peu plus près. Elle a l'air fatiguée, et sa peau est un peu pâle.{wc}Elle a l'air bien moins en forme qu'hier."
SAY.cinna flowchart.691.Hazel,,Did you get any sleep?,Tu as réussi à dormir un peu ?
SAY.cinna flowchart.693.Mary,,"I slept just fine. Thank you for worrying about me, though.",J'ai très bien dormi. Merci quand même de t'inquiéter pour moi.
SAY.cinna flowchart.695.Hazel,,I wasn't...,Je ne...
SAY.cinna flowchart.696.,,"Well, maybe I was.","Bon, peut-être que si."
SAY.cinna flowchart.697.,,"Mary starts on my hair, snipping and shearing away at loose ends, humming a pleasant tune as she works.{wc}I wince occasionally as her scissors part a tangled clump of hair.","Mary commence à s'occuper de mes cheveux, coupant et taillant les pointes fourchues, tout en fredonnant un air agréable.{wc}Je grimace de temps en temps lorsqu'elle sépare d'un coup de ciseaux une mèche emmêlée."
SAY.cinna flowchart.698.,,"Finally, she stops, and takes a small handheld mirror from its place on the desk, handing it to me.","Finalement, elle s'arrête, prend un petit miroir de poche posé sur le bureau et me le tend."
SAY.cinna flowchart.700.Mary,,What do you think?,Qu'en penses-tu ?
SAY.cinna flowchart.701.,,"I stare for a moment at my reflection. It's been a while since I've seen it last.{wc}I am given the distinct impression that I am staring at a small beast, a rabbit or a shrew, caught in a hunter's trap.{wc}I look dishevelled, and unkempt, but at least my hair is now perfectly neat and tidy.","Je fixe un instant mon reflet. Cela faisait un moment que je ne l'avais pas vu.{wc}J'ai l'impression de regarder une petite bête, un lapin ou une musaraigne, prise au piège d'un chasseur.{wc}J'ai l'air débraillée et négligée, mais au moins, mes cheveux sont désormais parfaitement coiffés."
SAY.cinna flowchart.703.Hazel,,It's great.,C'est parfait.
SAY.cinna flowchart.705.Mary,,"Thank you! Oh, you don't know how happy that makes me.","Merci ! Oh, tu ne sais pas à quel point ça me fait plaisir."
SAY.cinna flowchart.706.,,"I stand up, and she pushes aside the chair, picking up the small rug beneath, now covered in my hair.","Je me lève, et elle écarte la chaise pour ramasser le petit tapis qui se trouve en dessous, désormais recouvert de mes cheveux."
SAY.cinna flowchart.709.Mary,,"I'll get rid of these hairs for you, okay?","Je vais me débarasser de ces cheveux pour toi, d'accord ?"
SAY.cinna flowchart.711.Hazel,,Right.,Merci.
SAY.cinna flowchart.713.,,"The day passes peacefully for a while. I had borrowed a few books on alchemy from Mary's workroom, and I pass the time with reading.{wc}I eat mutton for lunch, while Mary watches on like she always does.{wc}And then, late in the day, as evening approaches, I suddenly hear a noise.","La journée se déroule paisiblement pendant un moment. J'avais emprunté quelques livres sur l'alchimie dans l'atelier de Mary, et je me perd dans la lecture.{wc}Je mange du mouton pour le déjeuner, tandis que Mary m'observe comme elle le fait toujours.{wc}Puis, en fin de journée, alors que le soir approche, j'entends un bruit."
SAY.cinna flowchart.715.,,"I'm returning to my room, when, just as I pass by Mary's bedroom door, I hear the sound of something scraping.{wc}It is rough, and harsh, like metal scraping against metal.{wc}After a few seconds, I hear the sound again, and then again.","Je retourne dans ma chambre quand, au moment où je passe devant la porte de celle de Mary, j'entends un bruit étrange.{wc}C'est un bruit rugueux et strident, comme du métal qui frotte contre du métal.{wc}Au bout de quelques secondes, j'entends à nouveau ce bruit, puis encore une fois."
SAY.cinna flowchart.717.,,"I take a few careful steps towards the door, and press my ear up against it.{wc}As I do, I began to notice other sounds, quieter ones, accompanying the scraping.{wc}I can hear deep, heavy breathing, the faint sound of gagging, and a strange bubbling noise, the quietest of them all.","Je fais prudemment quelques pas vers la porte et j'y colle mon oreille.{wc}Ce faisant, je commence à percevoir d'autres sons, plus discrets, qui accompagnent ce frottement.{wc}J'entends une respiration profonde et haletante, un léger bruit de haut-le-cœur et un étrange gargouillement, très léger."
SAY.cinna flowchart.718.,,"I take another step, careful not to make any noise, and press my eye up against the edge of the door, which is slightly ajar.{wc}That's when I see it.","Je fais un pas de plus, en prenant soin de ne pas faire de bruit, et je colle mon œil contre le bord de la porte, qui est légèrement entrouverte.{wc}C'est là que je l'aperçois."
SAY.cinna flowchart.720.,,"Mary, sitting on her bed, hunched over, clutching in one hand a clump of hair.","Mary, assise sur son lit, le dos voûté, tenant dans une main une touffe de cheveux."
SAY.cinna flowchart.722.,,A clump of {i}my{/i} hair.,Une touffe de {i}mes{/i} cheveux.
SAY.cinna flowchart.723.,,"Slowly, she picks a few hairs from the clump, drops them into her open mouth, and swallows, her face twisting in revulsion.{wc}Then she reaches for another few hairs, and swallows them too.","Lentement, elle prélève quelques cheveux de la touffe, les laisse tomber dans sa bouche grande ouverte et les avale, le visage déformé par le dégoût.{wc}Puis elle en prend encore quelques-uns et les avale également."
SAY.cinna flowchart.724.,,"I must have let out a gasp or a whimper involuntarily, because her eyes suddenly flicker to the door, and I almost collapse in fear.","J'ai dû laisser échapper un cri étouffé ou un gémissement involontaire, car son regard s'est soudain tourné vers la porte. Je manque de m'effondrer de peur."
SAY.cinna flowchart.727.Mary,,Hazel?,Hazel ?
SAY.cinna flowchart.728.,,I back away from the door as quickly as I can without making any noise. I'm halfway down the corridor when I hear the door open behind me.,Je m'éloigne de la porte aussi vite que possible sans faire de bruit. Je suis à mi-chemin dans le couloir quand j'entends la porte s'ouvrir derrière moi.
SAY.cinna flowchart.731.Mary,,Hazel. Did you...,Hazel. Est-ce que tu…
SAY.cinna flowchart.733.Mary,,What did you see?,Qu'est-ce que tu as vu ?
SAY.cinna flowchart.736.Hazel,,"Oh. Sorry, did something happen?","Ah. Désolée, il s'est passé quelque chose ?"
SAY.cinna flowchart.737.,,"I give her my most placid smile, praying that she doesn't notice my shaking hands.","Je lui adresse mon sourire le plus serein, en priant pour qu'elle ne remarque pas que mes mains tremblent."
SAY.cinna flowchart.739.Hazel,,"I was just going back to my room. I, uh, returned one of the books I borrowed from your workroom.","J'étais juste en train de retourner dans ma chambre. J'ai, euh, rendu l'un des livres que j'avais empruntés dans ton atelier."
SAY.cinna flowchart.741.Mary,,"Oh. That's good, then. You, uh...","Ah. Tant mieux, alors. Tu, euh…"
SAY.cinna flowchart.742.,,She looks for a moment both embarrassed and confused. Then she collects herself.,"Elle a l'air, l'espace d'un instant, à la fois gênée et perplexe. Puis elle se ressaisit."
SAY.cinna flowchart.745.Mary,,"Good night, Hazel. Sleep well.","Bonne nuit, Hazel. Dors bien."
SAY.cinna flowchart.747.,,"I return to my room, close the door behind me slowly and carefully, then slam shut the latch.","Je retourne dans ma chambre, je ferme la porte derrière moi lentement et avec précaution, puis je ferme le loquet."
SAY.cinna flowchart.749.,,"I can feel the discordance in my body. My nerves are frayed, my skin feels sensitive and raw.{wc}My heart is beating, faster and faster and faster.","Je sens une dissonance qui traverse mon corps. Mes nerfs sont à vif, ma peau est sensible, à vif elle aussi.{wc}Mon cœur bat. De plus en plus vite."
SAY.cinna flowchart.750.,,"I walk over to the desk and pick up the hand mirror, staring at my own reflection.",Je m'approche du bureau et prends le miroir de poche. Je fixe mon reflet.
SAY.cinna flowchart.751.,,My hair. Did she really take my hair... to {i}eat{/i} it?,Mes cheveux. Est-ce qu'elle a vraiment pris mes cheveux… pour les {i}manger{/i} ?
SAY.cinna flowchart.752.,,"That's when I see a thin scar on the side of my neck, faded but clearly recent.","C'est à ce moment-là que j'aperçois une fine cicatrice sur le côté de mon cou, légère mais visiblement récente."
SAY.cinna flowchart.753.,,That must have been...,Ce doit être…
SAY.cinna flowchart.754.,,... must have been left by {i}him{/i}.,... ce doit être {i}lui{/i} qui me l'a laissé.
SAY.cinna flowchart.755.,,"{i}Oh, God.{/i}",{i}Oh mon Dieu.{/i}
CHARACTER.Mary,,Mary,Mary
CHARACTER.Hazel,,Hazel,Hazel
CHARACTER.Old Man,,Old Man,Vieil homme
CHARACTER.Adrianne,,Adrianne,Adrianne
CHARACTER.???,,???,???
CHARACTER.Duke,,Duke,Duc
CHARACTER.Priest,,Priest,Prêtre
CHARACTER.Reginald,,Reginald,Reginald
CHARACTER.Note,,Note,Mot
CHARACTER.Vendor,,Vendor,Vendeuse
CHARACTER.Crier,,Crier,Crieur
