Key,Description,Standard,fr
SAY.cinna flowchart.6.,,"I take her hand, and feel her fingers grip mine with reassuring strength.",Je lui prends la main. Je sens ses doigts serrer les miens avec douceur.
SAY.cinna flowchart.8.Hazel,,I forgive you.,Je te pardonne.
SAY.cinna flowchart.116.,,"Mary pulls me into an embrace, tears streaming down her face.",Mary me serre dans ses bras. Des larmes coulent sur son visage.
SAY.cinna flowchart.12.Mary,,"Oh, thank you! You have no idea how much this means to me.",Tu n'as pas idée de ce que ça représente pour moi.
SAY.cinna flowchart.14.Hazel,,It's alright.,Tout va bien.
SAY.cinna flowchart.16.Hazel,,I never hated you. I was just so scared.,Je ne t'ai jamais détstée. J'avais seulement peur.
SAY.cinna flowchart.18.Mary,,"Oh, Hazel. I love you so much.","Oh, Hazel. Je t'aime tellement."
SAY.cinna flowchart.21.Hazel,,I—I love you too.,Je… je t'aime aussi.
SAY.cinna flowchart.22.,,"She squeals in joy, and clutches me tighter, so tight that it hurts for a moment. I let out a yelp of pain, and she lets go.","Elle pousse un cri de joie et me serre encore plus fort, si fort que j'en ai mal pendant un instant. Je laisse échapper une petite plainte de douleur, et elle me lâche."
SAY.cinna flowchart.25.Mary,,"Oh, I'm sorry. I need to be more careful with my strength.","Oh, je suis désolée. Je dois faire attention à mesurer ma force."
SAY.cinna flowchart.28.Hazel,,Don't worry. I'm fine.,"Ne t'inquiète pas, je vais bien."
SAY.cinna flowchart.31.Mary,,So... I should prepare lunch. How does meat sound?,"Bon… Je devrais préparer le déjeuner. Ça te dit, un plat à base de viande ?"
SAY.cinna flowchart.33.Hazel,,Um...,Euh...
SAY.cinna flowchart.34.,,"My eyes drift over to the workroom door, and Mary laughs uproariously.","Mon regard se pose sur la porte de l'atelier, et Mary éclate de rire."
SAY.cinna flowchart.36.Mary,,"Oh, don't be silly!","Oh, ne sois pas sotte !"
SAY.cinna flowchart.38.Mary,,I have some lamb left in the pantry. I'll go get it now.,Il me reste un peu d'agneau dans le garde-manger. Je vais aller le chercher tout de suite.
SAY.cinna flowchart.40.Hazel,,That sounds great.,Très bien.
SAY.cinna flowchart.42.Mary,,Wonderful!,Merveilleux !
SAY.cinna flowchart.43.,,"She smiles at me, and in that moment, the whole world seems to shine.","Elle me sourit, et à cet instant, le monde entier semble rayonner."
SAY.cinna flowchart.44.,,I...,Je...
SAY.cinna flowchart.54.,,"My small world is, for now, blissfully dark and silent. The cold stone floor numbs my skin, but its touch is familiar and comforting.{wc}Then, I hear the door creak open above me, and footsteps echo down the rough stone stairs.","Mon petit monde est, pour l'instant, délicieusement sombre et silencieux. Le sol en pierre est froid et m'engourdit la peau, mais son contact m'est familier et réconfortant.{wc}J'entends la porte grincer au-dessus de moi, et des pas résonnent dans l'escalier en pierre brute."
SAY.cinna flowchart.57.Mary,,"How are you doing, honey?","Comment vas-tu, ma chérie ?"
SAY.cinna flowchart.58.,,"I let out a low, dull whine, but Mary just chuckles.","Je laisse échapper un gémissement sourd, mais Mary se contente de rire."
SAY.cinna flowchart.61.Mary,,That doesn't tell me anything!,Ça ne m'apprend rien !
SAY.cinna flowchart.62.,,"My mouth tries to form the words, but my lips just flap uselessly.","Ma bouche essaie de former des mots, mais mes lèvres ne font que s'agiter en vain."
SAY.cinna flowchart.64.Mary,,"Come on, you should really be used to it by now.","Allez, tu devrais vraiment t'y être habituée maintenant."
SAY.cinna flowchart.66.Mary,,I'll keep teasing you until you get it through your head.,Je vais continuer à te taquiner jusqu'à ce que tu te mettes ça dans la tête.
SAY.cinna flowchart.70.Mary,,You're never going to get to speak back to me again.,Tu n'auras plus jamais l'occasion de me répondre.
SAY.cinna flowchart.71.,,She pushes my lips aside and reaches one finger into my mouth. It brushes against the useless stump where my tongue used to be.,Elle écarte mes lèvres et glisse un doigt dans ma bouche. Il effleure le moignon inutile qui remplace désormais ma langue.
SAY.cinna flowchart.73.Mary,,"Good, the cut's healing nicely.","Parfait, la plaie cicatrise bien."
SAY.cinna flowchart.74.,,"I whine pitifully, but Mary just looks down at me with scorn.","Je pleure pitoyablement, mais Mary se contente de me regarder avec mépris."
SAY.cinna flowchart.76.Mary,,"Come on, you shouldn't be so upset. It's not like you ever used that tongue for anything meaningful.","Allez, tu ne devrais pas te fâcher comme ça. Ce n'est pas comme si tu avais déjà utilisé cette langue pour faire quelque chose d'important."
SAY.cinna flowchart.78.Mary,,This is what comes to those who speak only to pass judgement.,Voilà ce qui arrive à ceux qui ne parlent que pour porter des jugements.
SAY.cinna flowchart.80.Mary,,"Although, I have trained as a surgeon. So...","Cela dit, j'ai suivi une formation de chirurgien. Donc…"
SAY.cinna flowchart.81.,,She leans forwards and whispers into my ear.,Elle se penche vers moi et me murmure à l'oreille.
