Key,Description,Standard,fr
SAY.cinna flowchart.4.,,"I turn back and walk through the door, out into the forest beyond.",Je me retourne et franchis la porte pour m'enfoncer dans la forêt qui s'étend au-delà.
SAY.cinna flowchart.6.Mary,,"Hazel, come back here!","Hazel, reviens ici !"
SAY.cinna flowchart.7.,,I ignore Mary. She has no power over me any more.,J'ignore Mary. Elle n'a plus aucun pouvoir sur moi.
SAY.cinna flowchart.8.,,"From here, my future is uncertain.{wc}I don't have anywhere to go, but with the Duke dead, I don't have anyone hunting me either.{wc}And, if I ever do need it, I'll have the perfect getaway tool hidden in my pocket.","À partir de là, mon avenir est incertain.{wc}Je n'ai nulle part où aller, mais maintenant que le duc est mort, personne ne me recherche non plus.{wc}Et si jamais j'en ai besoin, j'aurai dans ma poche l'outil idéal pour prendre la fuite."
SAY.cinna flowchart.10.Mary,,Hazel! {i}HAZEL!{/i},Hazel ! {i}HAZEL !{/i}
SAY.cinna flowchart.11.,,"I suppose the first place to head is the village.{wc}No one is waiting for me there, but there might be opportunities for work and lodging.{wc}I could even find that priest. I'm sure he would be willing to help.{wc}And from there... well, I could go anywhere.","Je suppose que le premier endroit où aller, c'est le village.{wc}Personne ne m'y attend, mais je pourrais peut-être y trouver du travail et un logement.{wc}Je pourrais même retrouver ce prêtre. Je suis sûre qu'il serait prêt à m'aider.{wc}Et de là… eh bien, je pourrais aller n'importe où."
SAY.cinna flowchart.12.,,"I pick up my pace. Behind me, Mary's house is almost out of view.","J'accélère le pas. Derrière moi, la maison de Mary est presque hors de vue."
SAY.cinna flowchart.15.,,"Then, something heavy crashes into my back. As I fall to the ground, I turn around. Mary kneels over me, her face twisted into a vicious snarl.","C'est alors qu'un objet lourd vient s'écraser contre mon dos. Alors que je m'effondre au sol, je me retourne. Mary est agenouillée au-dessus de moi, le visage déformé par un rictus vicieux."
SAY.cinna flowchart.18.Mary,,You think you're so much better than me? You think you have the right to toy with me like this!?,Tu te crois tellement meilleure que moi ? Tu crois avoir le droit de te jouer de moi comme ça ?!
SAY.cinna flowchart.20.Mary,,"You were planning to tell the villagers all about me, weren't you?","Tu avais l'intention de tout raconter aux villageois à mon sujet, n'est-ce pas ?"
SAY.cinna flowchart.22.Mary,,I'm not going to let you get me killed!,Je ne te laisserai pas me faire tuer !
SAY.cinna flowchart.23.,,I try to sit up.,J'essaie de me redresser.
SAY.cinna flowchart.25.Hazel,,"No, I—","Non, je—"
SAY.cinna flowchart.27.Mary,,Shut up. {i}Shut up!{/i},Tais-toi. {i}Tais-toi !{/i}
SAY.cinna flowchart.29.,,"She pushes me back down, and as her palm slams into my chest, the air leaves my lungs.{wc}As I crash onto the ground again, I hear a crack, and I think for a moment that one of my ribs has broken.{wc}Then I feel it, a cold liquid seeping through my clothes and into my skin. The vial.","Elle me repousse au sol. Lorsque sa paume s'abat sur ma poitrine, l'air s'échappe de mes poumons.{wc}Alors que je m'écrase à nouveau contre le sol, j'entends un craquement. Je crois qu'une de mes côtes s'est cassée.{wc}Puis je le sens : un liquide froid qui s'infiltre à travers mes vêtements et imprègne ma peau. La potion."
SAY.cinna flowchart.30.,,"My body starts to shake, racked by convulsions, as an unimaginable pain blooms in my chest like a bright red flower.{wc}I can't move, can't speak, can't think.{wc}I can feel my bones twisting, my skin tearing, my muscles coiling around themselves, then breaking apart.","Mon corps se met à trembler, secoué de convulsions, tandis qu’une douleur inimaginable grandit dans ma poitrine, comme une fleur rouge vif.{wc}Je ne peux ni bouger, ni parler, ni penser.{wc}Je sens mes os se tordre, ma peau se déchirer, mes muscles s’enrouler sur eux-mêmes, puis s'arracher."
SAY.cinna flowchart.33.Mary,,Oh no! I—I didn't mean to...,Oh non ! Je... je ne voulais pas...
SAY.cinna flowchart.34.,,"I try to focus, to picture my body, intact and whole, but the convulsions continue.","J'essaie de me concentrer, d'imaginer mon corps, intact et entier, mais les convulsions persistent."
SAY.cinna flowchart.36.Mary,,"It's... it's alright. I'll put you out of your misery, okay?","Ce... ce n'est rien. Je vais mettre fin à tes souffrances, d'accord ?"
SAY.cinna flowchart.37.,,"I try to open my mouth, to speak, to tell her that it'll be alright. But all that comes out of my mouth is a pathetic whine.","J'essaie d'ouvrir la bouche, de parler, de lui dire que tout ira bien. Mais tout ce qui sort de ma bouche, c'est un gémissement pathétique."
SAY.cinna flowchart.41.Mary,,{i}Shh.{/i} It's alright.,{i}Chut....{/i} Tout va bien.
SAY.cinna flowchart.43.Mary,,I love you.,Je t'aime.
SAY.cinna flowchart.44.,,"She plants a kiss on my forehead, then places one hand around my neck.{wc}I reach out one hand, trying to grab hers, to move it away, but my fingers only brush uselessly against her wrist.","Elle dépose un baiser sur mon front, puis passe une main autour de mon cou.{wc}Je tends la main pour essayer de saisir la sienne et de l'écarter, mais mes doigts ne font qu'effleurer son poignet."
SAY.cinna flowchart.46.,,"She clenches her grip, and with the sound of flesh tearing, my life comes to an end.","Elle resserre sa prise, et au son de la chair qui se déchire, ma vie touche à sa fin."
SAY.cinna flowchart.53.Mary,,Don't cry.,Ne pleure pas.
