Key,Description,Standard,fr
SAY.cinna flowchart.772.,,"When I come to, I'm lying on the floor in a puddle of my own vomit.","Quand je reviens à moi, je suis allongée par terre, dans une flaque de mon propre vomi."
SAY.cinna flowchart.773.,,"Slowly, I stand up, wipe the bile from my clothes, undress, and lie down in bed.","Je me relève lentement, j'essuie la bile sur mes vêtements, je me déshabille et je m'allonge dans mon lit."
SAY.cinna flowchart.774.,,"That night, I don't sleep.","Cette nuit-là, je n'ai pas fermé l'œil."
SAY.cinna flowchart.785.Hazel,,Where are we going this time?,Où allons-nous cette fois ?
SAY.cinna flowchart.786.,,"I trail behind Mary as she makes her way through the forest, brushing aside branches and stepping over rocks.","Je marche derrière Mary tandis qu'elle s'enfonce dans la forêt, écartant les branches et enjambant les rochers."
SAY.cinna flowchart.788.Mary,,"It's been a while since the last time you bathed, hasn't it?","Ça fait un moment que tu n'as pas pris de bain, n'est-ce pas ?"
MENU.cinna flowchart.1008,,Is it that obvious?,C'est si évident que ça ?
MENU.cinna flowchart.1009,,What do you mean?,Qu'est-ce que tu veux dire ?
SAY.cinna flowchart.794.Hazel,,Is it that obvious?,C'est si évident que ça ?
SAY.cinna flowchart.795.,,Mary chuckles.,Mary sourit.
SAY.cinna flowchart.797.Mary,,"Sorry, that was a rude question.","Désolée, c'était une question déplacée."
SAY.cinna flowchart.801.Hazel,,What are you getting at?,Où veux-tu en venir ?
SAY.cinna flowchart.803.Mary,,"Nothing, nothing.","Non, rien."
SAY.cinna flowchart.805.Mary,,You smell fine.,Tu sens bon.
SAY.cinna flowchart.808.Hazel,,"Fine, whatever.","Bon, d'accord."
SAY.cinna flowchart.810.Hazel,,It has been a while.,"Effectivement, ça fait un moment."
SAY.cinna flowchart.813.Mary,,"I know a good stream nearby, and I thought I would show you the way.","Je connais un joli ruisseau pas loin d'ici, et je me suis dit que je pourrais t'y emmener."
SAY.cinna flowchart.815.Mary,,"You're free to go back home after that, if you want.","Après ça, tu es libre de rentrer à la maison si tu le souhaites."
SAY.cinna flowchart.817.Hazel,,"No, you were right.","Non, tu as raison."
SAY.cinna flowchart.819.Mary,,"Ah, here we are.","Ah, nous y sommes."
