Key,Description,Standard,fr
SAY.cinna flowchart.1218.,,"When I wake up, the sun is bright, the sky is blue, and the birds are singing. It's a beautiful day.{wc}I groggily pull myself out of bed and stumble into the hall. Once again, I find the house empty.","Quand je me réveille, le soleil brille, le ciel est bleu et les oiseaux chantent. C'est une magnifique journée.{wc}Je sors du lit, encore à moitié endormie, et je titube jusqu'au couloir. Une fois de plus, je constate que la maison est vide."
SAY.cinna flowchart.1219.,,"There is a note left on the table, in shaky, unconfident handwriting, next to a loaf of bread and a few apples.","Il y a un mot posé sur la table, écrit d'une écriture tremblante et hésitante. Une miche de pain et quelques pommes ont été posées à côté."
SAY.cinna flowchart.1488.Note,,I don't think I should be around you any more. I don't know when I'll be back. I'm so sorry. —M,Je pense avoir besoin de m'éloigner de toi. Je ne sais pas quand je reviendrai. Je suis vraiment désolée. —M
SAY.cinna flowchart.1221.,,"I take a bite out of one of the apples, savouring its bitter taste. Then I get to work.","Je croque dans l'une des pommes, savourant son goût amer. Après ça, je me mets au travail."
SAY.cinna flowchart.1222.,,"Mary was in the workroom all of last night, so I couldn't use it, but last night was a half-moon.{wc}Today will be my only chance to prepare the potion for the next month.","Hier, Mary est restée dans l'atelier toute la nuit, je n'ai donc pas pu y entrer. Mais hier soir, c'était la demi-lune.{wc}Aujourd'hui sera ma seule occasion de préparer la potion pour le mois prochain."
SAY.cinna flowchart.1223.,,"I enter the workroom and retrieve the bezoar from its hiding place, then lay out all of my ingredients.{wc}Hemlock, Arum Lily, St John's Wort, and Lavender. Mixing the paste takes a while, as does preparing the water.","J'entre dans l'atelier, je sors le bézoard de sa cachette, puis je dispose tous mes ingrédients.{wc}Ciguë, arum, millepertuis et lavande. La préparation de la pâte prend un certain temps, tout comme celle de l'eau."
SAY.cinna flowchart.1224.,,"It takes some searching through the kitchen to find a bowl, and then I have to trace my path back to the stream.{wc}Then, I use a tinderbox to get the fireplace going, and hold the bowl at arm's length over it until it feels warm enough.","Il me faut fouiller un peu dans la cuisine pour trouver un bol, puis je dois revenir sur mes pas jusqu'au ruisseau.{wc}Ensuite, j'utilise une boîte à amadou pour allumer le feu dans la cheminée. Je tiens le bol à bout de bras au-dessus, jusqu'à ce qu'il soit suffisamment chaud."
SAY.cinna flowchart.1225.,,"From there, I follow the instructions to the letter — apply the paste to the bezoar, let it soak in the water for a few minutes, and collect the sediment.{wc}I scrape it up into a small glass vial, no bigger than my pinky finger, cork the vial, and tuck it into my pocket.","À partir de là, je suis les instructions à la lettre : j'applique la pâte sur le bézoard, je le laisse tremper dans l'eau pendant quelques minutes, puis je récupère le sédiment.{wc}Je le racle pour le mettre dans un petit flacon en verre, pas plus gros que mon petit doigt. Je le scelle et le glisse dans ma poche."
SAY.cinna flowchart.1226.,,"I am suddenly overcome with hesitation. That's it, right?{wc}All I have to do now is drink the potion, and no one from my past life — or my current one — will ever be able to find me again.{wc}I will be free at last.","Je suis soudain envahie par l'hésitation. C'est ça, n'est-ce pas ?{wc}Il ne me reste plus qu'à boire la potion, et personne de ma vie passée — ni de ma vie actuelle — ne pourra plus jamais me retrouver.{wc}Je serai enfin libre."
SAY.cinna flowchart.1227.,,"Shaking slightly, I raise the potion to my lips and steel myself, when I suddenly hear a noise, outside the door.{wc}Panicking, I quickly cork the vial and stuff it back in my pocket, when the door bursts open.","Tremblant légèrement, je porte la potion à mes lèvres, quand j'entends soudain un bruit derrière la porte.{wc}Prise de panique, je rebouche rapidement le flacon et le fourre dans ma poche. La porte s'ouvre brusquement."
SAY.cinna flowchart.1232.Mary,,Hazel!,Hazel !
SAY.cinna flowchart.1233.,,"I realise for the first time that she isn't wearing her eyepatch. In fact, her eye is completely healed.{wc}For a moment, my neck twinges with a dull pain.","Je remarque qu'elle ne porte plus son cache-œil. En fait, son œil à l'air complètement guéri.{wc}L'espace d'un instant, je ressens une douleur dans la nuque."
SAY.cinna flowchart.1236.Hazel,,Yes?,Oui ?
SAY.cinna flowchart.1239.Mary,,I'm sorry!,Excuse-moi !
SAY.cinna flowchart.1240.,,"She reaches out and takes my hand, but when I recoil from her touch, she shrinks back.","Elle tend la main pour prendre la mienne, mais lorsque je me dérobe à son contact, elle recule à son tour."
SAY.cinna flowchart.1242.Mary,,"... I mean it, I really do.","... Je le pense tu sais, je le pense sincèrement."
SAY.cinna flowchart.1244.Mary,,"I thought I needed some time to think, but I was just trying to avoid this conversation. I don't want you to hate me.","Je pensais avoir besoin d'un peu de temps pour réfléchir, mais en réalité, j'essayais simplement d'éviter cette conversation. Je ne veux pas que tu me détestes."
SAY.cinna flowchart.1246.Mary,,"But maybe you should. The things I've done, the people I've hurt, the people I've abandoned. I don't deserve forgiveness any more.","Mais peut-être que tu devrais. Tout ce que j'ai fait, les gens que j'ai blessés, ceux que j'ai abandonnés… Je ne mérite plus qu'on me pardonne."
