Key,Description,Standard,fr
SAY.cinna flowchart.661.,,"When I wake, the sun is already high in the sky. When I finally gather the energy to leave my bedroom, I find the house completely empty.","À mon réveil, le soleil est déjà haut dans le ciel. Quand je trouve enfin la force de sortir de mon lit, je découvre que la maison est complètement vide."
SAY.cinna flowchart.662.,,"A note has been left on the table, written in careful, elegant handwriting.","Un mot a été laissé sur la table, on y lit une écriture soignée et élégante."
SAY.cinna flowchart.980.Note,,"{i}Sorry, but I'll be gone for most of the day. I've left some bread and cheese out on the table if you get hungry.{/i}{wc}{i}I'll be back by the evening. — M{/i}","{i}Désolée, mais je serai absente presque toute la journée. J'ai laissé du pain et du fromage sur la table au cas où tu aurais faim.{/i}{wc}{i}Je serai de retour dans la soirée. — M{/i}"
SAY.cinna flowchart.666.,,I decide to take the opportunity to explore some of the area around Mary's house.,Je décide de profiter de l'occasion pour explorer un peu les environs de la maison de Mary.
SAY.cinna flowchart.667.,,"The house is surrounded by a thick forest, and seems to be hidden far from civilisation.","La maison est entourée d'une forêt, ce qui donne l’impression d’être séparé de toute civilisation."
SAY.cinna flowchart.668.,,"Despite that, it doesn't take long until I find a coarse dirt road, snaking through the trees.","Malgré ça, je ne tarde pas à tomber sur un chemin de terre qui serpente à travers les arbres."
SAY.cinna flowchart.669.,,"I pick a direction on a whim, and start to walk.",Je choisis une direction au hasard et je me mets à marcher.
SAY.cinna flowchart.670.,,"After a while, I spot chimney smoke curling above the treetops, and soon after that I come to the edge of the forest.","Au bout d'un moment, j'aperçois de la fumée s'élevant au-dessus de la cime des arbres. Peu après, j'arrive à l'orée de la forêt."
SAY.cinna flowchart.671.,,"Vast fields of yellow wheat stretch out before me, the road cutting right through them.{wc}And, along that road is the village, dozens of houses clustered around a large open town square.{wc}I continue on, passing by several farmers working away at the fields, until I reach it.","De vastes champs de blé jaune s'étendent devant moi, la route les traversant de part en part.{wc}Et, le long de cette route, se trouve le village, avec des dizaines de maisons regroupées autour d'une grande place publique.{wc}Je continue mon chemin, en passant devant plusieurs agriculteurs qui travaillent dans les champs, jusqu'à arriver sur cette place."
SAY.cinna flowchart.676.Crier,,"I'm telling you, danger has afflicted this region! A perverse wickedness that hides its fangs and claws!","Je vous le dis, cette région n’est plus sûre ! Une perversion malfaisante qui dissimule ses crocs et ses griffes !"
SAY.cinna flowchart.677.Crier,,A wickedness that whispers sweet promises in your ear! That threatens to tarnish this kingdom's very soul!,Une perversion qui vous murmure de douces promesses à l'oreille ! Qui menace de ternir l'âme même de ce royaume !
SAY.cinna flowchart.678.,,"A man stands at the edge of the town square, a lion coat-of-arms emblazoned on his armour, holding up a poster and occasionally gesturing to it.","Un homme se tient au bord de la place du village, son armure ornée d'un blason représentant un lion ; il tient une affiche et fait de temps à autre un geste pour la mettre en avant."
SAY.cinna flowchart.679.,,A small crowd has gathered around him and is listening intently.,Une petite foule s'est rassemblée autour de lui et l'écoute attentivement.
SAY.cinna flowchart.680.Crier,,"Yes, this corruption's name is witchcraft!","Oui, cette corruption se nomme sorcellerie !"
SAY.cinna flowchart.681.Crier,,"Beware its sinful appeal, beware those who practice it, those who would see the natural order overtaken!","Méfiez-vous de son attrait pervers, méfiez-vous de ceux qui la pratiquent, de ceux qui voudraient voir l'ordre naturel bouleversé !"
