Key,Description,Standard
SAY.cinna flowchart.772.,,"When I come to, I'm lying on the floor in a puddle of my own vomit."
SAY.cinna flowchart.773.,,"Slowly, I stand up, wipe the bile from my clothes, undress, and lie down in bed."
SAY.cinna flowchart.774.,,"That night, I don't sleep."
SAY.cinna flowchart.785.Hazel,,Where are we going this time?
SAY.cinna flowchart.786.,,"I trail behind Mary as she makes her way through the forest, brushing aside branches and stepping over rocks."
SAY.cinna flowchart.788.Mary,,"It's been a while since the last time you bathed, hasn't it?"
MENU.cinna flowchart.1008,,Is it that obvious?
MENU.cinna flowchart.1009,,What do you mean?
SAY.cinna flowchart.794.Hazel,,Is it that obvious?
SAY.cinna flowchart.795.,,Mary chuckles.
SAY.cinna flowchart.797.Mary,,"Sorry, that was a rude question."
SAY.cinna flowchart.801.Hazel,,What are you getting at?
SAY.cinna flowchart.803.Mary,,"Nothing, nothing."
SAY.cinna flowchart.805.Mary,,You smell fine.
SAY.cinna flowchart.808.Hazel,,"Fine, whatever."
SAY.cinna flowchart.810.Hazel,,It has been a while.
SAY.cinna flowchart.813.Mary,,"I know a good stream nearby, and I thought I would show you the way."
SAY.cinna flowchart.815.Mary,,"You're free to go back home after that, if you want."
SAY.cinna flowchart.817.Hazel,,"No, you were right."
SAY.cinna flowchart.819.Mary,,"Ah, here we are."
SAY.cinna flowchart.822.,,"A large basin lies before us, a shimmering pool of clear blue water fed by a flowing stream.{wc}I step forward and dip my hand beneath the water's surface, feeling it run through my fingers.{wc}When I turn back around, Mary is in the process of pulling her dress over her head."
SAY.cinna flowchart.824.Hazel,,H-hey!
SAY.cinna flowchart.825.,,I feel my cheeks burning with embarrassment.
SAY.cinna flowchart.828.Mary,,What?
SAY.cinna flowchart.830.Hazel,,You're getting... naked.
SAY.cinna flowchart.831.,,"The moment the words come out of my mouth, I feel stupid and childish for saying them."
SAY.cinna flowchart.833.Mary,,Of course I am. I need a bath.
SAY.cinna flowchart.835.Hazel,,But I'm still here.
SAY.cinna flowchart.837.Mary,,"Oh, it's fine. It's just us girls here, after all."
SAY.cinna flowchart.840.,,I screw my eyes shut.
SAY.cinna flowchart.842.,,"When I open them again, Mary is drifting through the water, a look of sheer bliss on her face. She lets out a deep sigh."
SAY.cinna flowchart.844.Mary,,This is wonderful.
SAY.cinna flowchart.846.Mary,,Are you not coming in?
SAY.cinna flowchart.848.Hazel,,"No, I..."
SAY.cinna flowchart.849.,,"I kneel by the water's edge, overcome with frustration."
SAY.cinna flowchart.852.Hazel,,This is why I didn't want you undressing.
SAY.cinna flowchart.854.Hazel,,"I knew you'd expect me to do the same. I can't do it, okay? I just can't."
SAY.cinna flowchart.856.Mary,,I don't mind.
SAY.cinna flowchart.859.Hazel,,That's not what this is about.
SAY.cinna flowchart.861.Mary,,Oh.
SAY.cinna flowchart.863.Hazel,,"It's fine. I'll just wait until you're done, then you can go on ahead."
SAY.cinna flowchart.865.Mary,,Well...
SAY.cinna flowchart.866.,,"She kicks over to the water's edge, looking up into my eyes."
SAY.cinna flowchart.868.Mary,,You don't {i}have{/i} to undress to go swimming. It's not like those clothes don't also need a wash.
SAY.cinna flowchart.870.Mary,,"The walk back to the house will be a pain, but it's not far, and you can undress once we're back home."
SAY.cinna flowchart.872.Hazel,,I... I suppose.
SAY.cinna flowchart.874.,,"I kick off my shoes and lower myself into the pool feet first.{wc}The water is cold, but refreshing, and I soon find my tension wearing away as I float along."
SAY.cinna flowchart.876.Mary,,"I'm sorry, you know? About what you've gone through."
SAY.cinna flowchart.878.Hazel,,You don't have to be. It wasn't your fault.
SAY.cinna flowchart.880.,,"Mary stands up and stretches, her back turned to me, and my breath is taken away. A web of scars adorns her back, carved into her skin."
SAY.cinna flowchart.882.Hazel,,Your scars...
SAY.cinna flowchart.884.,,"I reach out one hand and brush it across her back, feeling its ridges, its contours."
SAY.cinna flowchart.886.Mary,,You like them?
SAY.cinna flowchart.888.Hazel,,"What? No, it's horrible."
SAY.cinna flowchart.890.Hazel,,You must have gone through so much...
SAY.cinna flowchart.892.Mary,,"Honey, you're looking at the proof of a life worth living."
SAY.cinna flowchart.894.Hazel,,Really?
SAY.cinna flowchart.896.Mary,,"Well, it must have been. Just look at how many people have tried to take it away from me."
SAY.cinna flowchart.897.,,"She laughs, but there's something hollow at the edge of her voice. I wrap my arms around her torso, feeling her cold, smooth skin."
SAY.cinna flowchart.899.Hazel,,It's still not right. No one should have to endure so much suffering.
SAY.cinna flowchart.901.Hazel,,"You, least of all."
SAY.cinna flowchart.907.,,"Mary suddenly spins around and pulls me into a tight hug. Then, she lets go and crouches down, cradling my face in her hands."
SAY.cinna flowchart.909.Mary,,"Hazel. I love you so, so much."
SAY.cinna flowchart.911.Hazel,,Oh.
SAY.cinna flowchart.913.Hazel,,Okay.
SAY.cinna flowchart.915.Mary,,I'm sorry.
SAY.cinna flowchart.917.Mary,,"It's probably an awful thing to say, after everything you've been through, but I couldn't hold it in any longer."
SAY.cinna flowchart.919.Mary,,I love you.
SAY.cinna flowchart.920.,,"Unsure of what to say, I stare at her face, taking it all in. Her skin is cold and pale.{wc}She looks more unhealthy now than she did yesterday. Her breathing is faint, and her fingers feel stiff, almost lifeless.{wc}And yet, behind her eyes is a fire more intense than any I have seen."
SAY.cinna flowchart.921.,,She sighs and lets me go. I sink back into the water.
SAY.cinna flowchart.923.Mary,,I'm sorry about that.
SAY.cinna flowchart.925.Hazel,,It's alright.
SAY.cinna flowchart.926.,,"I pull myself to my feet, shaking the water out of my ears."
SAY.cinna flowchart.928.Hazel,,"Next time you want to randomly hug me, can you put some clothes on first?"
SAY.cinna flowchart.930.Mary,,"Hey, you were the one who—"
SAY.cinna flowchart.933.Mary,,Next time? So I can keep hugging you?
SAY.cinna flowchart.936.Hazel,,"If... If it'll make you happy, then fine."
SAY.cinna flowchart.938.Mary,,"Oh, Hazel!"
SAY.cinna flowchart.939.,,"She pulls me into another hug, and I fall back into the water under her weight."
SAY.cinna flowchart.942.Hazel,,Hey!
SAY.cinna flowchart.945.Mary,,Sorry.
SAY.cinna flowchart.947.Mary,,"Should we start heading back, then?"
SAY.cinna flowchart.950.Hazel,,Sure.
SAY.cinna flowchart.955.,,"A while passes without much of note happening - another meal, another conversation, some more reading.{wc}After lunch, Mary offers to show me around her workroom, and I oblige.{wc}The tour, and her eager explanations, are enjoyable — but there is one question I ask that provokes a strange response."
SAY.cinna flowchart.960.Mary,,... and this piece of glassware is incredibly handy.
SAY.cinna flowchart.962.Mary,,"It allows me to evaporate liquids, and then recollect them through condensation, so nothing goes to waste."
SAY.cinna flowchart.964.Mary,,I'll show you how it works some time.
SAY.cinna flowchart.966.Hazel,,Where did you get all of this?
SAY.cinna flowchart.968.Mary,,Sorry?
SAY.cinna flowchart.970.Hazel,,"Oh, um... I was just wondering, because a lot of this equipment seems really rare and expensive."
SAY.cinna flowchart.972.Hazel,,And I've never heard of most of these ingredients before.
SAY.cinna flowchart.973.,,"Mary opens her mouth, then pauses for a moment, as if she's thinking of what to say."
SAY.cinna flowchart.976.Mary,,I suppose there's no harm in telling you. I used to be an alchemist in the capital.
SAY.cinna flowchart.978.Mary,,"In fact, I used to study at the Royal College of Alchemy."
SAY.cinna flowchart.980.Hazel,,Really?
SAY.cinna flowchart.981.,,Mary chuckles.
SAY.cinna flowchart.984.Mary,,A decent pedigree was the one gift my parents left me when they passed.
SAY.cinna flowchart.986.,,"That and the money, of course."
SAY.cinna flowchart.988.Hazel,,"But then, what happened to make you leave the capital?"
SAY.cinna flowchart.990.Mary,,"Well, I didn't leave by choice. The academy kicked me out."
SAY.cinna flowchart.993.Mary,,Those stuffy old men...
SAY.cinna flowchart.996.Mary,,"They didn't like how I changed, I suppose."
SAY.cinna flowchart.998.Mary,,"Anyway, enough about me. Don't you want to see the garden?"
SAY.cinna flowchart.999.,,"The rest of my tour passes without issue, and I start to think that what I saw on Mary's face might have been nothing more than my imagination."
SAY.cinna flowchart.1000.,,"When she mentioned her parents, I could have sworn I saw, for just the briefest of moments, a twisted grin forming on her lips."
CHARACTER.Mary,,Mary
CHARACTER.Hazel,,Hazel
CHARACTER.Old Man,,Old Man
CHARACTER.Adrianne,,Adrianne
CHARACTER.???,,???
CHARACTER.Duke,,Duke
CHARACTER.Priest,,Priest
CHARACTER.Reginald,,Reginald
CHARACTER.Note,,Note
CHARACTER.Vendor,,Vendor
CHARACTER.Crier,,Crier
