Key,Description,Standard
SAY.cinna flowchart.661.,,"When I wake, the sun is already high in the sky. When I finally gather the energy to leave my bedroom, I find the house completely empty."
SAY.cinna flowchart.662.,,"A note has been left on the table, written in careful, elegant handwriting."
SAY.cinna flowchart.980.Note,,"{i}Sorry, but I'll be gone for most of the day. I've left some bread and cheese out on the table if you get hungry.{/i}{wc}{i}I'll be back by the evening. — M{/i}"
SAY.cinna flowchart.666.,,I decide to take the opportunity to explore some of the area around Mary's house.
SAY.cinna flowchart.667.,,"The house is surrounded by a thick forest, and seems to be hidden far from civilisation."
SAY.cinna flowchart.668.,,"Despite that, it doesn't take long until I find a coarse dirt road, snaking through the trees."
SAY.cinna flowchart.669.,,"I pick a direction on a whim, and start to walk."
SAY.cinna flowchart.670.,,"After a while, I spot chimney smoke curling above the treetops, and soon after that I come to the edge of the forest."
SAY.cinna flowchart.671.,,"Vast fields of yellow wheat stretch out before me, the road cutting right through them.{wc}And, along that road is the village, dozens of houses clustered around a large open town square.{wc}I continue on, passing by several farmers working away at the fields, until I reach it."
SAY.cinna flowchart.676.Crier,,"I'm telling you, danger has afflicted this region! A perverse wickedness that hides its fangs and claws!"
SAY.cinna flowchart.677.Crier,,A wickedness that whispers sweet promises in your ear! That threatens to tarnish this kingdom's very soul!
SAY.cinna flowchart.678.,,"A man stands at the edge of the town square, a lion coat-of-arms emblazoned on his armour, holding up a poster and occasionally gesturing to it."
SAY.cinna flowchart.679.,,A small crowd has gathered around him and is listening intently.
SAY.cinna flowchart.680.Crier,,"Yes, this corruption's name is witchcraft!"
SAY.cinna flowchart.681.Crier,,"Beware its sinful appeal, beware those who practice it, those who would see the natural order overtaken!"
SAY.cinna flowchart.682.,,"I step closer to get a proper look at the poster in his hand, and freeze."
SAY.cinna flowchart.684.,,"The drawing on it is sketchy, but it's clearly a depiction of Mary. I shudder and turn away."
SAY.cinna flowchart.685.Crier,,The venerable and magnanimous Duke of Hart is offering a reward of up to thirty silvers for this individual!
SAY.cinna flowchart.686.Crier,,"Any individual who can provide information leading to their capture will earn this prize. Yes, I repeat, up to thirty silvers!"
SAY.cinna flowchart.689.,,I tune him out.
SAY.cinna flowchart.690.,,"Various stalls have been set up throughout the square. I meander over to one selling pies, my stomach rumbling."
SAY.cinna flowchart.692.Vendor,,"What'll it be, dearie?"
