Key,Description,Standard
SAY.cinna flowchart.7.Hazel,,"A while ago, you said that you had ""a unique skin condition."" I'm guessing it's a bit more than that?"
SAY.cinna flowchart.9.Mary,,"Well, yes, but—"
SAY.cinna flowchart.11.Hazel,,"And you got it from drinking that potion, didn't you?"
SAY.cinna flowchart.13.Mary,,You—how did you know?
SAY.cinna flowchart.15.Hazel,,I thought so.
SAY.cinna flowchart.16.,,"I had suspected it for a while now. Would Mary really have devoted so much to creating this potion, if she had no interest in drinking it herself?{wc}And could such an incredible potion really come with no side effects?"
SAY.cinna flowchart.17.,,"I pull the small vial out of my pocket, and stare at it. It looks like a muddy-green liquid, nothing more.{wc}To think that so much power could be contained in something so unremarkable."
SAY.cinna flowchart.19.Mary,,Is that...
SAY.cinna flowchart.22.Mary,,Hazel! Put that down! It's dangerous!
SAY.cinna flowchart.24.Hazel,,I know.
SAY.cinna flowchart.26.Hazel,,"It's all your body's fault, right? Your cursed body."
SAY.cinna flowchart.28.Hazel,,That's what makes you hurt people.
SAY.cinna flowchart.30.Hazel,,No one could ever really stay by your side. No one could ever understand your pain.
SAY.cinna flowchart.32.Hazel,,Because no one else has been through what you have.
SAY.cinna flowchart.35.Mary,,What are you doing?
SAY.cinna flowchart.38.Hazel,,Giving you a second chance.
SAY.cinna flowchart.39.,,"I raise the vial to my lips, and drink deep of it, feeling its bitter tang fill my mouth, feeling its power fill my veins."
SAY.cinna flowchart.40.,,"I am unmade in an instant, and I... I..."
SAY.cinna flowchart.42.,,I...
SAY.cinna flowchart.45.Mary,,"... You saved me, you know?"
SAY.cinna flowchart.47.Mary,,Giving me that chance.
SAY.cinna flowchart.49.Mary,,When nobody else ever would.
SAY.cinna flowchart.51.Mary,,"When everybody else had abandoned me, you were the only one who stood by my side."
SAY.cinna flowchart.53.Mary,,Thank you.
SAY.cinna flowchart.55.Mary,,I just wish...
SAY.cinna flowchart.58.Mary,,"I wish I could have saved you, too."
SAY.cinna flowchart.63.Mary,,Thank you.
SAY.cinna flowchart.151.,,Notes from cinna:{wc}Thank you so much for playing our little labor of love!
SAY.cinna flowchart.152.,,"One dislocated leg (please send well wishes to Nii), one concussion (please send well wishes to me lmao), one insane fever (get well soon Astra), and a team of tired souls later, this game finally exists :){wc}Please be kind, write a nice comment if you'd like (we live for them!), play through the game again and again if you want, unlock all the endings and maybe an easter egg...?"
SAY.cinna flowchart.154.,,Stay tuned for more toxic yuri horror games (and check out our others if you haven't yet). The world will never have enough :P
SAY.cinna flowchart.157.,,The secret ending is now unlocked! See if you can find it...
CHARACTER.Mary,,Mary
CHARACTER.Hazel,,Hazel
