Key,Description,Standard
SAY.cinna flowchart.289.,,"The warm light of the morning sun plays across my face, filtered through a dozen layers of dust and cobwebs.{wc}I sit up and blink a few times, making sure that I'm still alive. Then, the pain in my leg flares up, and my thoughts scatter."
SAY.cinna flowchart.292.Mary,,Good morning.
SAY.cinna flowchart.293.,,"The woman who saved me yesterday is sitting by the bed, her hands steepled. She looks like she's been sitting there for a long time."
MENU.cinna flowchart.562,,Good morning.
MENU.cinna flowchart.563,,Who are you?
SAY.cinna flowchart.299.Hazel,,{i}Good... morning.{/i}
SAY.cinna flowchart.300.,,"I croak out the words, my throat as dry as a desert."
SAY.cinna flowchart.303.Mary,,"Oh, don't overexert yourself. Here."
SAY.cinna flowchart.306.Hazel,,{i}Who... are you?{/i}
SAY.cinna flowchart.307.,,"I croak out the words, my throat as dry as a desert."
SAY.cinna flowchart.310.Mary,,"Oh, we can go through that later. For now, you just take it easy."
SAY.cinna flowchart.312.Mary,,Here.
SAY.cinna flowchart.314.,,"She picks up a clay bowl filled to the brim with pure, clear water, and hands it to me."
SAY.cinna flowchart.594.,,"I gulp it down greedily, letting the water spill from the corner of my mouth and down my cheeks."
SAY.cinna flowchart.316.Mary,,I was starting to worry you might never wake up.
SAY.cinna flowchart.318.,,"I lean forwards to return the bowl, but as I shift my wounded leg, it erupts in red-hot pain."
SAY.cinna flowchart.319.,,"In what feels like slow motion, I watch as my bowl tumbles from my hands and crashes against the floor, where it shatters into a thousand pieces."
SAY.cinna flowchart.321.Hazel,,"I'm sorry! I'm so sorry, I didn't mean to..."
SAY.cinna flowchart.322.,,But my words trail off. The woman had barely reacted to the noise. She hadn't even flinched.
SAY.cinna flowchart.324.Mary,,"It's alright. I have more bowls. More importantly, how's your leg doing?"
SAY.cinna flowchart.326.,,"I shift aside the flax sheet. Beneath it, my leg has been wrapped in several layers of bandages, stained slightly red by my blood.{wc}The sight is enough to make me feel queasy."
SAY.cinna flowchart.328.Hazel,,Urgh.
SAY.cinna flowchart.329.,,"The woman chuckles, her voice clear as crystal."
SAY.cinna flowchart.331.Mary,,"I suppose it can't be that bad, then. I did my best to clean the wound, but it'll take some time to heal."
SAY.cinna flowchart.333.Mary,,You should spend as much time as possible in bed for the next few days.
SAY.cinna flowchart.335.Hazel,,Where... am I?
SAY.cinna flowchart.337.Mary,,"In my guest bedroom. Don't worry, I don't have any use for it, as you can probably tell by the clutter."
SAY.cinna flowchart.339.Mary,,Feel free to stay as long as you need.
SAY.cinna flowchart.341.Hazel,,Thank you. I...
SAY.cinna flowchart.342.,,"My mouth moves, but the words refuse to form. My head feels like its stuffed with cottons. Thoughts drift away from me."
SAY.cinna flowchart.344.Mary,,"Oh, you're probably still very tired. I'll let you rest."
SAY.cinna flowchart.346.Hazel,,Wait...
SAY.cinna flowchart.349.Mary,,"We can talk more at noon, if you're awake then."
