Key,Description,Standard
SAY.cinna flowchart.1218.,,"When I wake up, the sun is bright, the sky is blue, and the birds are singing. It's a beautiful day.{wc}I groggily pull myself out of bed and stumble into the hall. Once again, I find the house empty."
SAY.cinna flowchart.1219.,,"There is a note left on the table, in shaky, unconfident handwriting, next to a loaf of bread and a few apples."
SAY.cinna flowchart.1488.Note,,I don't think I should be around you any more. I don't know when I'll be back. I'm so sorry. —M
SAY.cinna flowchart.1221.,,"I take a bite out of one of the apples, savouring its bitter taste. Then I get to work."
SAY.cinna flowchart.1222.,,"Mary was in the workroom all of last night, so I couldn't use it, but last night was a half-moon.{wc}Today will be my only chance to prepare the potion for the next month."
SAY.cinna flowchart.1223.,,"I enter the workroom and retrieve the bezoar from its hiding place, then lay out all of my ingredients.{wc}Hemlock, Arum Lily, St John's Wort, and Lavender. Mixing the paste takes a while, as does preparing the water."
SAY.cinna flowchart.1224.,,"It takes some searching through the kitchen to find a bowl, and then I have to trace my path back to the stream.{wc}Then, I use a tinderbox to get the fireplace going, and hold the bowl at arm's length over it until it feels warm enough."
SAY.cinna flowchart.1225.,,"From there, I follow the instructions to the letter — apply the paste to the bezoar, let it soak in the water for a few minutes, and collect the sediment.{wc}I scrape it up into a small glass vial, no bigger than my pinky finger, cork the vial, and tuck it into my pocket."
SAY.cinna flowchart.1226.,,"I am suddenly overcome with hesitation. That's it, right?{wc}All I have to do now is drink the potion, and no one from my past life — or my current one — will ever be able to find me again.{wc}I will be free at last."
SAY.cinna flowchart.1227.,,"Shaking slightly, I raise the potion to my lips and steel myself, when I suddenly hear a noise, outside the door.{wc}Panicking, I quickly cork the vial and stuff it back in my pocket, when the door bursts open."
SAY.cinna flowchart.1232.Mary,,Hazel!
SAY.cinna flowchart.1233.,,"I realise for the first time that she isn't wearing her eyepatch. In fact, her eye is completely healed.{wc}For a moment, my neck twinges with a dull pain."
SAY.cinna flowchart.1236.Hazel,,Yes?
SAY.cinna flowchart.1239.Mary,,I'm sorry!
SAY.cinna flowchart.1240.,,"She reaches out and takes my hand, but when I recoil from her touch, she shrinks back."
SAY.cinna flowchart.1242.Mary,,"... I mean it, I really do."
SAY.cinna flowchart.1244.Mary,,"I thought I needed some time to think, but I was just trying to avoid this conversation. I don't want you to hate me."
SAY.cinna flowchart.1246.Mary,,"But maybe you should. The things I've done, the people I've hurt, the people I've abandoned. I don't deserve forgiveness any more."
SAY.cinna flowchart.1248.Mary,,"And here I am, trying to run away again. Like I've done so many times before."
SAY.cinna flowchart.1250.Mary,,"If you give me a chance, just one more chance, then I'll do everything I can to make it up to you. I swear I'll never hurt you again."
SAY.cinna flowchart.1252.Mary,,Can you do that? Give me one more chance?
SAY.cinna flowchart.1254.,,"I open my mouth to give her my answer, when I suddenly hear the distinctive sound of someone knocking the house's front door.{wc}We both freeze."
SAY.cinna flowchart.1257.Hazel,,Who is that?
SAY.cinna flowchart.1259.Mary,,I don't know!
SAY.cinna flowchart.1265.,,"The knocking repeats, louder now. I move closer to the front door, my nerves on edge."
SAY.cinna flowchart.1266.Duke,,Haaazel! I know you're in there! Come out now and we can settle this peacefully!
SAY.cinna flowchart.1267.,,My blood freezes. I know that voice.
SAY.cinna flowchart.1268.Duke,,"Alright, I didn't want to do this, but you leave me no choice. Reginald!"
SAY.cinna flowchart.1270.,,"There is a crash, and a shower of splinters as an axe tears into the door, breaking through the latch. The door swings open."
SAY.cinna flowchart.1273.Duke,,"Good man, Reginald. Keep this up, and you'll earn that knighthood any day now."
SAY.cinna flowchart.1274.,,"The Duke of Hart barges his way into the room, flanked by two tough-looking guards, each armed with a crossbow. My blood curdles."
SAY.cinna flowchart.1276.,,"Mary steps in front of me, and rises to her full height, her hands clenched into fists, her eyes full of fire and brimstone."
SAY.cinna flowchart.1278.Mary,,And just what the hell do you think you're doing?
SAY.cinna flowchart.1279.Duke,,"Why, reclaiming my property, of course. As is my god-given right."
SAY.cinna flowchart.1280.Duke,,"Don't make too much of a fuss about it. This is my land, after all. I was bound to find her eventually."
SAY.cinna flowchart.1285.,,"He reaches into his pocket, and pulls out a daffodil, staring at it with some tenderness."
SAY.cinna flowchart.1286.Duke,,"That girl, Adrianne. She was quite the talker, once I put her under the knife."
SAY.cinna flowchart.1287.Duke,,Not that it did her any good.
SAY.cinna flowchart.1289.Mary,,You're sick.
SAY.cinna flowchart.1292.Mary,,"Get out of here now, if you want to keep your life!"
SAY.cinna flowchart.1294.,,"The Duke sighs, carefully tucking the daffodil back into his pocket."
SAY.cinna flowchart.1296.,,The Duke sighs.
SAY.cinna flowchart.1298.Duke,,"Can we do this like adults, please? Without the namecalling and stupid threats."
SAY.cinna flowchart.1299.Duke,,Your threats aren't going to work. I've taught my men a lesson or two about fearing anyone other than me.
SAY.cinna flowchart.1300.,,I notice whip scars and bruises across the men's arms and faces. I shiver.
SAY.cinna flowchart.1302.Duke,,"Hand over my Hazel, or I will order my man Reginald here—"
SAY.cinna flowchart.1303.,,"He claps Reginald on the shoulder, who looks uncomfortable with the attention."
SAY.cinna flowchart.1304.Duke,,"—to shoot an arrow right through your head. Your death will be painful, and ugly, and then I'll take her anyway. It's your choice."
SAY.cinna flowchart.1306.Mary,,Hazel isn't {i}yours{/i}. She never was.
SAY.cinna flowchart.1308.Duke,,"You just aren't getting it, are you?"
SAY.cinna flowchart.1309.Duke,,I am the {i}Duke{/i} of this province!
SAY.cinna flowchart.1310.Duke,,"I own the floorboards you're standing on, and the ground beneath it. I own this house, and I own this forest, and I own Hazel!"
SAY.cinna flowchart.1311.Duke,,"She is, in fact, one of my most treasured possessions, and I just cannot stand the thought of anyone else {i}touching{/i} her."
SAY.cinna flowchart.1312.,,"Mary bristles at his words, and the Duke's features light up in sadistic glee."
SAY.cinna flowchart.1314.Duke,,"Oh, yes. I've heard of you before. The way you take in poor, broken young girls, then leave them homeless when they reject your advances."
SAY.cinna flowchart.1315.Duke,,Several of my current maids came to {i}me{/i} because they had nowhere left to go after you abandoned them.
SAY.cinna flowchart.1316.,,"He nods towards me, and I shrink back behind Mary."
SAY.cinna flowchart.1317.Duke,,"Does she know? Have you tried to touch her already? Oh, look at her eyes. Of course she knows!"
SAY.cinna flowchart.1318.Duke,,And have you apologised yet? Have you begged her to give you another chance? To never leave you behind?
SAY.cinna flowchart.1320.Duke,,At least {i}I{/i} am honest in my intentions.
SAY.cinna flowchart.1322.,,"When Mary finally speaks, her voice is cold and quiet."
SAY.cinna flowchart.1324.Mary,,Shut up.
SAY.cinna flowchart.1325.,,She turns back to face me.
SAY.cinna flowchart.1327.Mary,,"It—it's not true, I—"
SAY.cinna flowchart.1328.,,"But she sees something in my eyes. Some hint of doubt, or fear."
SAY.cinna flowchart.1329.,,"Her expression barely shifts, but I see tears budding in her eyes before she wipes them away and turns back around to face the Duke."
SAY.cinna flowchart.1330.,,"She closes her eyes, takes a deep long breath, and for a moment she is the picture of calm."
SAY.cinna flowchart.1331.,,"Then her eyes snap open, and her fists unfurl, her fingers curved like claws."
SAY.cinna flowchart.1332.,,"She leans forwards, crouching almost like a tiger before its prey."
SAY.cinna flowchart.1333.,,"When she speaks, her voice betrays no emotion."
SAY.cinna flowchart.1335.Mary,,{i}This is your last chance.{/i}
SAY.cinna flowchart.1337.Mary,,"Leave now, or I will tear you limb from limb."
SAY.cinna flowchart.1338.Duke,,Reginald. Ready your bow.
SAY.cinna flowchart.1339.Reginald,,"Yes, sir."
SAY.cinna flowchart.1342.Mary,,Hazel! Close your eyes!
SAY.cinna flowchart.1350.,,"I screw my eyes shut tight, and the world goes dark."
SAY.cinna flowchart.1600.,,"I hear the twang of an arrow being loosed, and the dull thud of it hitting the wall."
SAY.cinna flowchart.1351.,,"I hear running, and growling, and then screaming, deep and guttural."
SAY.cinna flowchart.1352.,,I only open my eyes again once the room is silent.
SAY.cinna flowchart.1355.,,"I find the room completely empty, and completely still. Behind me, the workroom door creaks open and Mary pokes her head out."
SAY.cinna flowchart.1358.Mary,,Are you okay?
SAY.cinna flowchart.1361.Hazel,,Y—yes.
SAY.cinna flowchart.1363.Mary,,Great.
MENU.cinna flowchart.1500,,What happened?
MENU.cinna flowchart.1501,,Are you okay?
SAY.cinna flowchart.1369.Hazel,,What happened?
SAY.cinna flowchart.1371.Mary,,I dealt with them.
SAY.cinna flowchart.1373.Hazel,,But—
SAY.cinna flowchart.1375.Mary,,"You don't really want to know any more than that, do you?"
SAY.cinna flowchart.1378.Hazel,,Are you okay? Did they hurt you?
SAY.cinna flowchart.1381.Mary,,Hazel...
SAY.cinna flowchart.1383.Mary,,You've known me for a while now.
SAY.cinna flowchart.1385.Mary,,Don't ask stupid questions.
SAY.cinna flowchart.1389.Mary,,You should get some sleep. We'll talk in the morning.
SAY.cinna flowchart.1391.Hazel,,But... it's only noon...
SAY.cinna flowchart.1394.Mary,,I'll be busy for some time.
SAY.cinna flowchart.1505.,,"With that, she leaves the doorway, and slams the door shut behind her. I watch it bounce off its hinges, then settle, slightly ajar."
SAY.cinna flowchart.1397.,,"As I'm standing there, I suddenly hear a loud noise. A horrible tearing noise, and then a loud crack."
SAY.cinna flowchart.1398.,,I inch closer to the door. I have to know.
SAY.cinna flowchart.1399.,,"I press my eye up against the opening, and I see it."
SAY.cinna flowchart.1405.,,"Mary, crouching over a pile of body parts."
SAY.cinna flowchart.1406.,,"It's almost hard to believe that so much flesh, and so much blood, could come from just three bodies."
SAY.cinna flowchart.1408.,,"She reaches down and, with delicate force, tears a chunk out of one of the corpses."
SAY.cinna flowchart.1410.,,"She raises the chunk of meat to her lips and takes a bite, and, just as she swallows it, the look on her face... it's sheer bliss."
SAY.cinna flowchart.1412.,,"She must have heard me gasp in shock, because her eyes dart to the door and she jumps to her feet."
SAY.cinna flowchart.1414.,,"I try to back away, but I only make it a few steps before the door crashes open and Mary steps out in front of me, knife still in her hand."
SAY.cinna flowchart.1419.Mary,,I knew it! I knew you were spying on me!
SAY.cinna flowchart.1420.,,"I back away further, my hands shaking."
SAY.cinna flowchart.1423.Hazel,,Y-you—
SAY.cinna flowchart.1424.,,"I can no longer control myself. The words spill from my mouth, unbidden."
SAY.cinna flowchart.1426.Hazel,,The Duke was right! You're a monster!
SAY.cinna flowchart.1428.,,"Mary lets out a scream of frustration, and I wince and cover my ears."
SAY.cinna flowchart.1586.,,She grips the doorframe so tightly that she tears through the wood like it was butter.
SAY.cinna flowchart.1430.Mary,,"You have no idea—I have been {i}so{/i} hungry, for so long now! I've been starving myself all week, just for you!"
SAY.cinna flowchart.1433.Hazel,,Why? So you could build up an appetite? Am I next on your plate?
SAY.cinna flowchart.1436.Mary,,No.
SAY.cinna flowchart.1438.Mary,,It was because I wanted to be someone you could love. I was trying to change.
SAY.cinna flowchart.1440.Mary,,"I—I just lost control for a second, that's all."
SAY.cinna flowchart.1442.,,"I shrink back further, and I see panic creep across her features."
SAY.cinna flowchart.1444.Mary,,Please! You have to understand—everything the Duke said—it was all lies!
SAY.cinna flowchart.1446.Mary,,"Well, there have been other girls, yes, before you, but they were the ones who left me. I've never hurt anyone, I swear!"
SAY.cinna flowchart.1447.,,"My neck twinges with dull pain. My hands find the front door behind me, and I grip the doorknob tight."
SAY.cinna flowchart.1449.Mary,,"Hazel, please. I still love you. Won't you give me one more chance?"
SAY.cinna flowchart.1450.,,"She holds out one hand towards me, in a gesture of reconciliation. Looking at her delicate fingers, her carefully trimmed nails, it's hard to think of her as a monster.{wc}Then I remember the feeling of those nails digging into my back."
SAY.cinna flowchart.1451.,,"I pull the door open, and turn around."
SAY.cinna flowchart.1453.Mary,,Hazel! Was everything we've done together meaningless? Was it all really worth nothing to you?
SAY.cinna flowchart.1454.,,"I turn back, and stare into her eyes, full of genuine sorrow. Tears stream down her cheeks."
